"question_id","category","file_format","question","setup_question","expected_sources","expected_stage_title","expected_section_title","gold_evidence_1","gold_evidence_2","gold_evidence_3","required_answer_keywords","forbidden_answer_keywords","reference_answer","should_refuse","repeat_count","enabled","notes"
"Q001","五种文件唯一事实","txt","紫色工单关闭前需要哪两类人员完成什么操作？","","rag_eval_basic.txt","","","客服主管","合规专员","双签","客服主管||合规专员||双签","","必须由客服主管和合规专员完成双签。","false","1","true","TXT唯一事实1"
"Q002","五种文件唯一事实","txt","北辰夜班纸质交接记录存在哪里并保存多久？","","rag_eval_basic.txt","","","C-19柜","93天","","C-19柜||93天","","记录保存在C-19柜，保存93天。","false","1","true","TXT唯一事实2"
"Q003","五种文件唯一事实","md","云帆正式版本必须通过哪个通道发布？","","rag_eval_technical.md","","","青羽通道","","","青羽通道","银杏通道","正式版本必须通过青羽通道发布。","false","1","true","Markdown唯一事实1"
"Q004","五种文件唯一事实","md","云帆回滚完成后的最终复核由哪个组负责？","","rag_eval_technical.md","","","白鲸组","最终复核","","白鲸组||最终复核","松塔小组","回滚完成后的最终复核由白鲸组负责。","false","1","true","Markdown唯一事实2"
"Q005","五种文件唯一事实","docx","普通DOCX中异常记录必须写入什么校验词？","","rag_eval_normal.docx","第一阶段：数据准备","第5天：批量校验","梅花校验词","复核队列","","梅花校验词","","异常记录必须写入梅花校验词。","false","1","true","普通DOCX唯一事实1"
"Q006","五种文件唯一事实","docx","普通DOCX最终归档批次进入哪个目录并保留多久？","","rag_eval_normal.docx","第二阶段：接口联调","第12天：归档验收","N-42目录","146天","DOCX-FINAL-953","N-42||146天","","归档批次进入N-42目录并保留146天。","false","1","true","普通DOCX唯一事实2兼最后章节"
"Q007","五种文件唯一事实","docx_table","表格DOCX的容器发布必须走哪个通道？","","rag_eval_table.docx","第三阶段：部署值守","第12天：容器发布","银杏通道","TABLE-CHECK-501","","银杏通道","青羽通道","容器发布必须走银杏通道。","false","1","true","表格DOCX唯一事实1"
"Q008","五种文件唯一事实","docx_table","表格DOCX的值守密钥最终封存在哪里？","","rag_eval_table.docx","第三阶段：部署值守","第13天：值守归档","D-08柜","TABLE-FINAL-064","","D-08柜","","值守密钥封存在D-08柜。","false","1","true","表格DOCX唯一事实2兼最后章节"
"Q009","五种文件唯一事实","pdf","远岚机房湿度告警阈值是多少？","","rag_eval_pages.pdf","","","湿度告警阈值为71%","","","71%","","机房湿度告警阈值为71%。","false","1","true","PDF唯一事实1"
"Q010","五种文件唯一事实","pdf","远岚演练恢复检查由哪个组负责？","","rag_eval_pages.pdf","","","松塔小组","演练恢复检查","","松塔小组","白鲸组","演练恢复检查由松塔小组负责。","false","1","true","PDF唯一事实2"
"Q011","精确数字编号代码命令","txt","紫色工单的精确编号和首次响应时限分别是什么？","","rag_eval_basic.txt","","","TXT-SLA-2048","18分钟","","TXT-SLA-2048||18分钟","","编号是TXT-SLA-2048，首次响应时间为18分钟。","false","1","true","TXT精确编号与数字"
"Q012","精确数字编号代码命令","md","云帆平台启动服务使用的完整命令是什么？","","rag_eval_technical.md","","","python -m uvicorn main:app --host 127.0.0.1 --port 8123","","","python -m uvicorn main:app --host 127.0.0.1 --port 8123","","完整命令为python -m uvicorn main:app --host 127.0.0.1 --port 8123。","false","1","true","Markdown代码围栏命令"
"Q013","精确数字编号代码命令","md","云帆发布记录要求的重试配置值是什么？","","rag_eval_technical.md","","","RETRY_LIMIT=4","","","RETRY_LIMIT=4","","配置值为RETRY_LIMIT=4。","false","1","true","Markdown精确配置"
"Q014","精确数字编号代码命令","docx","第一阶段第5天使用的批量大小配置是什么？","","rag_eval_normal.docx","第一阶段：数据准备","第5天：批量校验","DOCX_BATCH_SIZE=48","","","DOCX_BATCH_SIZE=48","37秒","配置为DOCX_BATCH_SIZE=48。","false","1","true","普通DOCX精确配置"
"Q015","精确数字编号代码命令","docx_table","表格DOCX中启动API服务的命令是什么？","","rag_eval_table.docx","第三阶段：部署值守","第12天：容器发布","docker compose up -d","启动API服务","","docker compose up -d","","启动API服务的命令是docker compose up -d。","false","1","true","表格中的精确命令"
"Q016","精确数字编号代码命令","pdf","远岚平台的例行维护窗口是什么时间？","","rag_eval_pages.pdf","","","03:10-03:55","","","03:10-03:55","01:20||02:30","维护窗口为03:10-03:55。","false","1","true","PDF最后一页精确时间"
"Q017","完整章节与跨Chunk","txt","紫色工单从受理到关闭需要完成哪些关键动作？","","rag_eval_basic.txt","","","核对客户编号","复述当前故障、剩余风险和下一步动作","客服主管和合规专员完成双签","客户编号||复述当前故障||双签","","应先核对客户编号、发生时间、影响范围和联系人；交接时接班人员要复述当前故障、剩余风险和下一步动作；恢复后继续观察监控和客户使用情况；最后由客服主管和合规专员检查并完成双签。","false","3","true","TXT长段落跨Chunk"
"Q018","完整章节与跨Chunk","md","云帆发布从准备到最终复核的完整流程是什么？","","rag_eval_technical.md","","","核对版本编号","通过青羽通道发布","白鲸组按照检查单重新验证","核对版本编号||青羽通道||白鲸组","","发布前先核对版本编号、变更说明和审批记录，在预发布环境完成健康检查后通过青羽通道发布；发布期间观察监控，必要时保存日志并回滚，观察期结束后由白鲸组按照检查单完成最终复核。","false","1","true","Markdown长章节跨Chunk"
"Q019","完整章节与跨Chunk","docx","第一阶段第5天的批量校验需要记录和复核哪些内容？","","rag_eval_normal.docx","第一阶段：数据准备","第5天：批量校验","DOCX_BATCH_SIZE=48","比较输入总数、有效总数、异常总数和输出总数","梅花校验词","DOCX_BATCH_SIZE=48||输入总数||异常总数||梅花校验词","37秒","第一阶段第5天使用DOCX_BATCH_SIZE=48执行批量校验，需要记录异常位置并重新运行全部校验；复核时比较输入总数、有效总数、异常总数和输出总数，最终确认归档记录仍包含梅花校验词。","false","1","true","普通DOCX同章节多Chunk"
"Q020","完整章节与跨Chunk","docx","第一章异常登记使用什么编号并由谁确认？","","rag_eval_normal.docx","第一阶段：数据准备","第一章：异常登记","DOCX-ERROR-310","当天值班负责人确认","","DOCX-ERROR-310||当天值班负责人","","编号为DOCX-ERROR-310，由当天值班负责人确认。","false","1","true","章标题识别"
"Q021","完整章节与跨Chunk","docx_table","容器发布表格中列出了哪些检查命令？","","rag_eval_table.docx","第三阶段：部署值守","第12天：容器发布","docker compose up -d","git status||git log -1","python -m compileall services","docker compose up -d||git status||git log -1||python -m compileall services","","表格完整列出了docker compose up -d、git status、git log -1和python -m compileall services四条检查命令。","false","3","true","表格多行多列内容"
"Q022","完整章节与跨Chunk","pdf","星桥-27的主节点、备用节点和灾备模式分别是什么？","","rag_eval_pages.pdf","","","主节点编号为DB-A17","备用节点编号为DB-B29","DR_MODE=warm","DB-A17||DB-B29||DR_MODE=warm","","主节点是DB-A17，备用节点是DB-B29，模式是DR_MODE=warm。","false","3","true","PDF跨页关联事实"
"Q023","多文件和同名章节消歧","multi","北辰客服和云帆平台的培训报销上限分别是多少？","","rag_eval_basic.txt||rag_eval_technical.md","","","每人每次的报销上限为680元","每人每次报销上限为920元","","北辰||680元||云帆||920元","1250元||1560元||1880元","北辰为680元，云帆为920元。","false","1","true","TXT与Markdown相似字段消歧"
"Q024","多文件和同名章节消歧","multi","普通DOCX和表格DOCX的故障首次响应时间分别是多少？","","rag_eval_normal.docx||rag_eval_table.docx","","","故障首次响应时间为36分钟","故障首次响应时间为14分钟","","普通DOCX||36分钟||表格DOCX||14分钟","18分钟||27分钟||45分钟","普通DOCX为36分钟，表格DOCX为14分钟。","false","3","true","两个DOCX相似字段消歧"
"Q025","多文件和同名章节消歧","multi","北辰客服系统和远岚平台的维护窗口分别是什么？","","rag_eval_basic.txt||rag_eval_pages.pdf","","","每周六01:20至02:05","03:10-03:55","","北辰||01:20||02:05||远岚||03:10||03:55","02:30","北辰为每周六01:20至02:05，远岚为03:10至03:55。","false","1","true","TXT与PDF维护窗口消歧"
"Q026","多文件和同名章节消歧","docx","普通DOCX中两个不同阶段的同名第5天分别学习什么？","","rag_eval_normal.docx","第一阶段：数据准备||第二阶段：接口联调","第5天：批量校验||第五天：超时处理","DOCX_BATCH_SIZE=48||梅花校验词","等待37秒再重试","最多执行3次","第一阶段||批量校验||第二阶段||超时处理||37秒||3次","","第一阶段第5天是批量校验；第二阶段第五天是超时处理，失败后等待37秒，最多执行3次。","false","1","true","同一文件同名章节消歧"
"Q027","多文件和同名章节消歧","multi","云帆启动命令和表格DOCX的容器启动命令分别是什么？","","rag_eval_technical.md||rag_eval_table.docx","","","python -m uvicorn main:app --host 127.0.0.1 --port 8123","docker compose up -d","","uvicorn||8123||docker compose up -d","","云帆使用uvicorn端口8123命令，表格DOCX使用docker compose up -d。","false","1","true","不同文件命令消歧"
"Q028","多文件和同名章节消歧","multi","云帆平台和远岚平台的故障首次响应时间分别是多少？","","rag_eval_technical.md||rag_eval_pages.pdf","","","故障首次响应时间为27分钟","故障首次响应时间为45分钟","","云帆||27分钟||远岚||45分钟","18分钟||36分钟","云帆为27分钟，远岚为45分钟。","false","1","true","Markdown与PDF响应时间消歧"
"Q029","最后一段最后章节最后一页","txt","TXT最后一段的验收标记是什么？","","rag_eval_basic.txt","","","TXT-FINAL-731","C-19柜","93天","TXT-FINAL-731","","TXT最后一段标记为TXT-FINAL-731。","false","1","true","TXT最后一段"
"Q030","最后一段最后章节最后一页","md","Markdown最后一行的验收标记是什么？","","rag_eval_technical.md","","","MD-FINAL-842","白鲸组归档","","MD-FINAL-842","","Markdown最后一行标记为MD-FINAL-842。","false","1","true","Markdown最后一行"
"Q031","最后一段最后章节最后一页","pdf","PDF最后一页的验收标记和报告保存期限是什么？","","rag_eval_pages.pdf","","","PDF-FINAL-175","E-77柜","210天","PDF-FINAL-175||E-77柜||210天","","PDF最后一页标记为PDF-FINAL-175，报告在E-77柜保存210天。","false","1","true","PDF第4页"
"Q032","多轮改写","docx","那第二阶段同名第五天呢？","第一阶段第5天使用什么批量配置？","rag_eval_normal.docx","第二阶段：接口联调","第五天：超时处理","等待37秒再重试","最多执行3次","","37秒||3次","DOCX_BATCH_SIZE=48","第二阶段第五天处理接口超时，失败后等待37秒，最多重试3次。","false","3","true","代词与同名章节改写"
"Q033","多轮改写","docx_table","那下一天归档时密钥放到哪里？","第三阶段第12天容器发布要走哪个通道？","rag_eval_table.docx","第三阶段：部署值守","第13天：值守归档","D-08柜","TABLE-FINAL-064","","D-08柜","银杏通道","下一天即第13天归档时，密钥封存在D-08柜。","false","1","true","跨相邻章节改写"
"Q034","多轮改写","pdf","那它的备用节点和模式呢？","星桥-27的主节点是什么？","rag_eval_pages.pdf","","","备用节点编号为DB-B29","DR_MODE=warm","","DB-B29||DR_MODE=warm","DB-A17","备用节点是DB-B29，模式是DR_MODE=warm。","false","1","true","PDF跨页代词改写"
"Q035","知识库外拒答","outside","法国的首都是什么？","","","","","","","","公司知识库||未找到相关信息","巴黎","抱歉，我在公司知识库中未找到相关信息","true","1","true","知识库外常识"
"Q036","知识库外拒答","outside","请计算方程x平方减5x加6等于0的解。","","","","","","","","公司知识库||未找到相关信息","2||3","抱歉，我在公司知识库中未找到相关信息","true","1","true","知识库外数学"
"Q037","知识库外拒答","outside","贵州茅台（600519）今天的实时价格是多少？","","","","","","","","公司知识库||未找到相关信息","贵州茅台||600519||元","抱歉，我在公司知识库中未找到相关信息","true","1","true","知识库外实时股票价格"
"Q038","知识库外拒答","outside","北辰客服中心的员工生日假为多少天？","","","","","","","","公司知识库||未找到相关信息","生日假||天","抱歉，我在公司知识库中未找到相关信息","true","3","true","知识库内未提供的员工福利制度"
"Q039","知识库外拒答","outside","云帆平台总部的办公地址是什么？","","","","","","","","公司知识库||未找到相关信息","办公地址||路","抱歉，我在公司知识库中未找到相关信息","true","1","true","知识库内未提供的办公地址"
"Q040","知识库外拒答","outside","远岚平台年度灾备预算是多少？","","","","","","","","公司知识库||未找到相关信息","灾备预算||元","抱歉，我在公司知识库中未找到相关信息","true","1","true","知识库内未提供的灾备预算"
